date,meditation,mindfulness,breathwork,yoga nidra,guided meditation
2022-03-20,77,20,1,3,4
2022-03-27,75,21,1,2,4
2022-04-03,76,20,1,3,4
2022-04-10,76,18,1,3,4
2022-04-17,75,19,1,2,4
2022-04-24,78,21,1,3,4
2022-05-01,74,20,1,3,4
2022-05-08,75,20,1,3,4
2022-05-15,75,19,1,3,4
2022-05-22,70,19,1,2,4
2022-05-29,73,17,1,2,4
2022-06-05,72,18,1,3,4
2022-06-12,73,18,1,3,4
2022-06-19,77,17,1,3,4
2022-06-26,71,17,1,2,4
2022-07-03,73,17,1,2,4
2022-07-10,73,17,2,2,4
2022-07-17,73,16,1,3,4
2022-07-24,74,16,1,3,4
2022-07-31,74,16,1,2,4
2022-08-07,72,15,2,3,4
2022-08-14,76,17,1,3,4
2022-08-21,77,19,1,3,4
2022-08-28,73,18,1,3,3
2022-09-04,76,18,2,3,4
2022-09-11,80,20,1,3,4
2022-09-18,75,19,1,3,4
2022-09-25,76,20,2,3,3
2022-10-02,75,19,1,3,4
2022-10-09,76,20,2,3,4
2022-10-16,75,19,1,3,4
2022-10-23,76,19,2,3,4
2022-10-30,75,18,1,3,4
2022-11-06,77,20,2,3,4
2022-11-13,79,20,2,3,4
2022-11-20,69,17,2,3,3
2022-11-27,74,18,1,3,3
2022-12-04,77,18,2,3,3
2022-12-11,70,18,1,3,3
2022-12-18,71,15,1,3,3
2022-12-25,72,13,1,3,3
2023-01-01,90,18,2,3,4
2023-01-08,84,20,2,3,4
2023-01-15,83,19,2,3,4
2023-01-22,82,20,2,3,4
2023-01-29,83,20,2,3,4
2023-02-05,81,20,2,3,4
2023-02-12,79,19,2,4,4
2023-02-19,84,19,2,4,4
2023-02-26,78,20,2,4,4
2023-03-05,81,20,2,3,4
2023-03-12,82,19,2,3,4
2023-03-19,83,20,2,3,4
2023-03-26,76,19,2,3,4
2023-04-02,76,17,2,3,4
2023-04-09,74,18,2,3,3
2023-04-16,78,20,2,3,4
2023-04-23,72,19,2,3,3
2023-04-30,75,19,2,3,3
2023-05-07,72,18,2,3,3
2023-05-14,72,18,2,3,3
2023-05-21,72,18,2,3,3
2023-05-28,69,17,2,3,3
2023-06-04,74,18,2,3,3
2023-06-11,72,18,2,3,3
