date,keyword,search_interest
2022-01-23,mindfulness,71
2022-01-23,yoga nidra,63
2022-01-30,breathwork,29
2022-01-30,guided meditation,77
2022-01-30,meditation,89
2022-01-30,mindfulness,70
2022-01-30,yoga nidra,64
2022-02-06,breathwork,29
2022-02-06,guided meditation,75
2022-02-06,meditation,81
2022-02-06,mindfulness,66
2022-02-06,yoga nidra,61
2022-02-13,breathwork,25
2022-02-13,guided meditation,69
2022-02-13,meditation,82
2022-02-13,mindfulness,72
2022-02-13,yoga nidra,56
2022-02-20,breathwork,27
2022-02-20,guided meditation,71
2022-02-20,meditation,81
2022-02-20,mindfulness,65
2022-02-20,yoga nidra,57
2022-02-27,breathwork,24
2022-02-27,guided meditation,67
2022-02-27,meditation,82
2022-02-27,mindfulness,64
2022-02-27,yoga nidra,62
2022-03-06,breathwork,26
2022-03-06,guided meditation,65
2022-03-06,meditation,80
2022-03-06,mindfulness,61
2022-03-06,yoga nidra,63
2022-03-13,breathwork,25
2022-03-13,guided meditation,65
2022-03-13,meditation,80
2022-03-13,mindfulness,64
2022-03-13,yoga nidra,67
2022-03-20,breathwork,27
2022-03-20,guided meditation,66
2022-03-20,meditation,82
2022-03-20,mindfulness,66
2022-03-20,yoga nidra,62
2022-03-27,breathwork,26
2022-03-27,guided meditation,64
2022-03-27,meditation,77
2022-03-27,mindfulness,69
2022-03-27,yoga nidra,59
2022-04-03,breathwork,26
2022-04-03,guided meditation,65
2022-04-03,meditation,77
2022-04-03,mindfulness,62
2022-04-03,yoga nidra,62
2022-04-10,breathwork,28
2022-04-10,guided meditation,64
2022-04-10,meditation,78
2022-04-10,mindfulness,61
2022-04-10,yoga nidra,61
2022-04-17,breathwork,26
2022-04-17,guided meditation,63
2022-04-17,meditation,76
2022-04-17,mindfulness,65
2022-04-17,yoga nidra,59
2022-04-24,breathwork,26
2022-04-24,guided meditation,68
2022-04-24,meditation,80
2022-04-24,mindfulness,67
2022-04-24,yoga nidra,67
2022-05-01,breathwork,28
2022-05-01,guided meditation,63
2022-05-01,meditation,74
2022-05-01,mindfulness,64
2022-05-01,yoga nidra,65
2022-05-08,breathwork,29
2022-05-08,guided meditation,64
2022-05-08,meditation,76
2022-05-08,mindfulness,66
2022-05-08,yoga nidra,64
2022-05-15,breathwork,28
2022-05-15,guided meditation,66
2022-05-15,meditation,79
2022-05-15,mindfulness,62
2022-05-15,yoga nidra,65
2022-05-22,breathwork,27
2022-05-22,guided meditation,64
2022-05-22,meditation,74
2022-05-22,mindfulness,58
2022-05-22,yoga nidra,56
2022-05-29,breathwork,27
2022-05-29,guided meditation,62
2022-05-29,meditation,75
2022-05-29,mindfulness,55
